Time,Open,High,Low,Last,Change,%Chg,Volume
12/24/2020,3.8905,3.8954,3.8664,3.8681,-0.0225,-0.58%,1793
12/23/2020,3.8957,3.897,3.8876,3.8906,-0.0056,-0.14%,1760
12/22/2020,3.8733,3.8968,3.8733,3.8962,0.0232,+0.60%,1757
12/21/2020,3.8604,3.8853,3.815,3.873,0.0261,+0.68%,1832
12/18/2020,3.8357,3.8475,3.8347,3.8469,0.0114,+0.30%,1817
12/17/2020,3.8665,3.869,3.8351,3.8355,-0.031,-0.80%,1803
12/16/2020,3.8671,3.8728,3.8623,3.8665,-0.0006,-0.02%,1762
12/15/2020,3.8764,3.8791,3.8643,3.8671,-0.0092,-0.24%,1783
12/14/2020,3.8713,3.88,3.866,3.8763,-0.0018,-0.05%,1862
12/11/2020,3.8765,3.8826,3.8642,3.8781,0.0016,+0.04%,1804
12/10/2020,3.8766,3.8808,3.869,3.8765,0.0001,0.00%,1808
12/09/2020,3.8704,3.8775,3.8632,3.8764,0.0061,+0.16%,1800
12/08/2020,3.8866,3.8881,3.8689,3.8703,-0.0163,-0.42%,1810
12/07/2020,3.8954,3.8985,3.8862,3.8866,-0.0053,-0.14%,1801
12/04/2020,3.8908,3.8928,3.8834,3.8919,0.0011,+0.03%,1751
12/03/2020,3.8915,3.8957,3.8842,3.8908,-0.0006,-0.02%,1755
12/02/2020,3.8976,3.9001,3.8913,3.8914,-0.0061,-0.16%,1758
12/01/2020,3.9019,3.9037,3.8949,3.8975,-0.0045,-0.12%,1756
11/30/2020,3.9124,3.9124,3.8204,3.902,-0.0031,-0.08%,1757
11/27/2020,3.9017,3.9107,3.8998,3.9051,0.0033,+0.08%,1730
11/26/2020,3.902,3.9096,3.8999,3.9018,-0.0002,-0.01%,1738
11/25/2020,3.9073,3.9163,3.8997,3.902,-0.0053,-0.14%,1733
11/24/2020,3.9103,3.924,3.9064,3.9073,-0.0029,-0.07%,1734
11/23/2020,3.9058,3.9139,3.8939,3.9102,0.0106,+0.27%,1780
11/20/2020,3.9136,3.9161,3.8941,3.8996,-0.0141,-0.36%,1725
11/19/2020,3.905,3.9207,3.9048,3.9137,0.0087,+0.22%,1752
11/18/2020,3.885,3.9121,3.8842,3.905,0.02,+0.51%,1736
